,ID,decimalLatitude,decimalLongitude,species,tangle,tlength,pangle,plength,langle,llength,wangle,wlength,bangle,blength,tipangle,tiplength,length_by_width,petiole_by_total
56,9348457,,,exaltata,0.344,1332.024,124.287,106.508,-67.22,1652.93,-156.275,685.9739999999999,57.483999999999995,0.0,108.80799999999999,0.0,2.409610277,0.060535239000000005
57,9349451,,,exaltata,0.0,1328.0,98.881,259.106,-79.008,2685.263,11.411,889.584,52.521,0.0,51.799,0.0,3.018560361,0.088000519
58,9365072,,,exaltata,-0.344,1332.024,117.719,199.945,-55.976000000000006,1426.158,-148.744,705.383,74.051,0.0,72.295,0.0,2.02182077,0.122959616
59,9461535,,,exaltata,0.0,1209.0,29.476,79.259,-155.141,1712.693,-60.559,561.513,58.839,0.0,43.581,0.0,3.050139534,0.044230537
60,9462747,,,exaltata,0.141,1215.004,178.15200000000002,93.04799999999999,19.223,1931.7020000000002,-63.545,700.3380000000001,74.214,0.0,40.859,0.0,2.758242449,0.045955302999999996
61,9472268,,,exaltata,0.0,1212.0,105.751,121.565,-66.038,1654.608,25.253,527.403,53.935,0.0,34.172,0.0,3.1372745319999997,0.06844209400000001
62,9475312,,,exaltata,0.0,1212.0,64.02600000000001,130.14600000000002,-111.429,2143.155,162.89700000000002,1020.11,79.28699999999999,0.0,60.891999999999996,0.0,2.100905785,0.057249787999999996
63,9482016,,,exaltata,-0.142,1209.004,53.973,40.804,-132.549,1637.035,140.072,359.912,45.857,0.0,28.397,0.0,4.548431283,0.024319377000000003
64,9485841,,,exaltata,0.0,1215.0,14.036,160.80100000000002,-171.49900000000002,1704.729,95.56700000000001,834.938,69.83,0.0,59.472,0.0,2.041743219,0.08619588
65,9503440,,,exaltata,0.0,1316.0,46.218999999999994,132.966,-132.156,2223.054,-41.923,790.2710000000001,80.928,0.0,41.04,0.0,2.81302743,0.056436703
66,9522267,,,exaltata,0.0,1208.0,149.931,87.818,-31.823,1464.0770000000002,-124.77799999999999,525.951,55.327,0.0,53.625,0.0,2.783675666,0.056587591
67,9524545,,,exaltata,-0.188,1216.007,129.56,119.331,-50.958999999999996,1879.749,-140.735,650.969,56.467,0.0,33.995,0.0,2.887616768,0.059692959000000004
68,9533288,,,exaltata,0.18899999999999997,1212.007,-148.736,131.02700000000002,38.982,1996.557,-44.506,656.2189999999999,42.638000000000005,0.0,38.774,0.0,3.042516294,0.061584877
69,9744533,,,exaltata,0.174,1320.006,136.39700000000002,116.0,-40.408,1801.835,-128.991,648.444,71.36,0.0,38.308,0.0,2.77870564,0.06048487
70,9744537,,,exaltata,0.6940000000000001,1320.0970000000002,150.945,123.54799999999999,-25.941999999999997,2304.181,-122.18700000000001,803.482,47.31100000000001,0.0,54.407,0.0,2.867744393,0.050890359
71,9760710,,,exaltata,90.205,1120.007,21.038,55.714,-156.961,1512.656,114.8,638.924,63.988,0.0,47.195,0.0,2.367505368,0.035523505
72,9765509,,,exaltata,90.0,1116.0,-3.5039999999999996,196.36700000000002,168.03,2314.324,-100.947,990.0139999999999,76.013,0.0,45.477,0.0,2.337667952,0.078212333
73,9784104,,,exaltata,-90.0,1128.0,58.878,247.645,-136.656,1859.0539999999999,133.498,755.45,68.581,0.0,64.91199999999999,0.0,2.460856443,0.117551202
74,9786972,,,exaltata,89.38799999999999,1124.0639999999999,39.369,201.792,-147.748,1281.761,-58.161,583.849,74.539,0.0,64.196,0.0,2.19536387,0.13601940699999998
75,9796471,,,exaltata,90.0,1128.0,-63.435,321.994,95.971,2191.891,-173.157,705.0219999999999,58.571999999999996,0.0,46.778,0.0,3.1089682310000004,0.128086209
